SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
1478,15,30,18,30,60,10,3.0,1.0,1.0,1.0,10,45,2.3131039527621704,-0.0821012897137464,30697000.0,2.2720533079052974
261,15,35,18,25,55,14,4.5,1.5,1.0,1.2,20,50,2.303214986334109,-0.0674663512980796,27422999.999999985,2.269481810685069
181,5,20,18,25,70,21,3.0,1.0,2.0,1.0,5,50,2.297753110114324,-0.0605437034548407,27111000.0,2.2674812583869035
1101,5,40,14,40,60,21,4.5,2.0,1.0,1.2,15,55,2.29004197206308,-0.0854452961351656,32150000.0,2.247319323995497
1449,10,40,10,25,55,10,4.5,2.0,1.0,1.2,15,50,2.288257302656047,-0.1037050490374136,30929999.999999985,2.23640477813734
2153,5,40,18,30,70,14,2.5,0.5,1.0,1.0,10,55,2.267376859727747,-0.0673050235914515,27259000.0,2.233724347932021
2337,5,40,14,25,65,21,4.0,1.5,1.0,0.8,10,55,2.2878639452278295,-0.1084227391648244,34546000.0,2.2336525756454173
126,10,30,10,25,50,10,4.5,1.0,1.0,1.2,15,45,2.286752211778744,-0.1068829563955197,30140999.99999997,2.2333107335809843
1131,5,35,18,30,70,21,3.5,1.5,1.0,1.0,10,45,2.2616036391494068,-0.0704545454545454,28453000.0,2.226376366422134
766,5,20,18,35,70,14,5.0,0.5,1.0,1.0,15,50,2.260195752453543,-0.0777926761605326,29695000.0,2.2212994143732767
1785,5,20,10,30,65,10,1.5,0.5,2.0,1.4,15,55,2.255551114062027,-0.0842383987074771,26896999.999999985,2.2134319147082886
396,8,30,14,35,60,10,3.5,1.0,1.0,0.8,15,55,2.246773004331473,-0.0792896072166886,33897000.0,2.2071282007231288
1542,15,40,14,35,60,21,5.0,1.5,1.0,0.8,20,55,2.254456713311963,-0.1039936577147953,34109000.00000003,2.2024598844545653
577,8,40,10,35,65,21,4.0,1.0,1.0,1.4,20,55,2.237466011723391,-0.0749185667752443,28053000.0,2.200006728335769
867,12,20,18,30,70,14,4.0,1.0,1.0,0.8,15,45,2.234646225525585,-0.0818795319118386,29100000.0,2.1937064595696656
689,15,40,14,25,70,14,3.0,0.5,1.0,1.2,15,55,2.2289372404491847,-0.0739589807333747,24919000.0,2.1919577500824974
1740,8,40,18,30,70,21,3.5,1.0,1.0,1.4,5,55,2.2207942117420987,-0.0615682443190041,23693000.000000022,2.1900100895825965
1303,15,40,10,30,70,14,5.0,0.5,1.0,0.8,15,55,2.2248107892832953,-0.0699324949140003,31282000.00000003,2.1898445418262953
1164,10,20,18,35,70,10,4.5,1.5,2.0,0.8,20,45,2.2221218976049286,-0.0662815743097709,29116000.0,2.188981110450043
121,5,40,14,40,70,14,4.5,1.5,1.0,1.2,15,50,2.223105839805695,-0.0695393964505213,28370999.99999997,2.1883361415804345
41,10,20,18,30,70,10,4.5,0.5,2.0,0.8,10,55,2.2247119295891022,-0.0734764864911404,29644000.0,2.187973686343532
83,12,35,18,30,55,10,4.0,0.5,1.0,1.2,20,45,2.2545204137368717,-0.1337312501219106,28657999.99999997,2.1876547886759163
185,12,20,14,25,65,10,4.5,1.5,1.0,1.2,20,50,2.2196028442015545,-0.0673491716161301,25779999.999999985,2.1859282583934894
1022,8,30,18,25,70,21,2.5,1.0,1.0,0.8,5,50,2.2250157200294245,-0.0827359560279053,27373000.0,2.183647742015472
1737,8,35,10,45,60,21,5.0,1.0,1.0,1.2,10,55,2.2183735366273467,-0.0778824682751484,30651999.99999997,2.1794323024897726
1353,8,20,18,25,60,21,5.0,2.0,1.0,1.2,10,45,2.2184580585186935,-0.0821195265016596,28589000.0,2.1773982952678637
1015,10,30,10,30,50,10,1.5,1.0,1.0,1.4,20,50,2.2180896284259917,-0.0829022623904427,24288999.999999985,2.1766384972307704
510,5,25,18,30,55,14,3.5,1.0,1.0,1.2,20,55,2.2243918327844794,-0.0985028541247687,32364000.0,2.175140405722095
1978,8,35,18,25,50,14,3.5,0.5,1.0,1.4,15,55,2.2473119999633786,-0.1605416991426344,25663000.0,2.1670411503920612
363,5,30,18,40,70,21,2.0,1.0,1.0,1.2,5,55,2.198728463194435,-0.0663148596924331,30402999.99999997,2.1655710333482183
464,8,20,18,25,70,10,3.0,2.0,1.0,1.0,15,50,2.2137794596720917,-0.1032390571121704,24632000.0,2.1621599311160065
1123,5,35,14,40,70,10,2.5,0.5,1.0,1.4,10,55,2.198351287482941,-0.0733601279900103,23856000.0,2.161671223487936
746,5,35,18,30,50,21,5.0,0.5,1.0,1.2,20,45,2.2028284924494046,-0.0907697547683923,29828999.99999997,2.1574436150652083
2255,5,20,10,25,50,10,1.5,1.0,1.5,1.2,20,45,2.1925298790437333,-0.0728217263500396,27930999.99999997,2.1561190158687134
1520,15,35,18,25,55,21,3.0,1.0,1.0,1.4,15,55,2.1995200608679997,-0.0883067671650397,22519000.0,2.15536667728548
1369,5,30,14,35,60,10,5.0,1.5,1.0,1.2,20,45,2.19555715786441,-0.0872449825841764,31298999.99999997,2.1519346665723216
12,12,35,18,25,65,14,1.5,1.0,1.0,1.0,5,55,2.179268332557757,-0.0641105440059753,25578000.0,2.147213060554769
744,10,20,14,30,70,21,4.5,1.5,1.0,1.2,20,50,2.183287105494218,-0.0730438450542497,26460000.0,2.146765182967093
1510,5,25,14,30,55,21,3.0,0.5,1.0,1.2,10,55,2.193035357141838,-0.0929810784533692,31580999.999999985,2.1465448179151534
633,10,20,18,30,70,14,3.0,1.5,1.5,1.0,10,50,2.179796897785266,-0.0691534622726122,26594000.0,2.14522016664896
458,10,30,18,30,70,14,4.5,2.0,1.0,1.0,10,45,2.1787302019237167,-0.0680095180122848,27462000.000000015,2.1447254429175744
888,5,25,14,45,70,10,3.0,0.5,1.0,1.4,10,45,2.168913701765497,-0.0563874034462268,27136999.999999985,2.140720000042384
522,15,35,18,25,70,14,2.5,1.0,1.0,1.2,15,55,2.1716989434321334,-0.0689807383627608,22512000.000000007,2.137208574250753
