SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
271,10,25,18,25,70,14,2.5,1,1,1.2,20,45,2.782016973,-0.07720320466,29702000
1634,8,40,14,35,70,21,5,1,1,0.8,10,45,2.717278496,-0.07548636353,41320000
974,5,20,18,35,70,14,4.5,1,1,0.8,15,50,2.674389187,-0.06388517122,36240000
2500,15,25,18,25,70,14,1.5,1,1,0.8,20,50,2.594883786,-0.07613530181,29810000
2358,10,30,18,25,70,21,2,0.5,1,0.8,15,55,2.573981968,-0.07130522918,30525000
