SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1322,5,35,18,30,70,21,2.5,1.0,1.5,1.2,15,55,1.5692604253410085,-0.1396977369836998,18822000.000000015
1323,8,30,10,45,55,21,2.0,1.0,1.0,1.0,10,55,1.1231635702594356,-0.13578156052881737,16480999.999999963
1324,10,30,10,45,60,10,1.5,1.5,1.0,0.8,10,50,1.0062908603728704,-0.14421306134013318,14375000.000000015
1325,12,35,10,45,60,10,2.0,2.0,1.0,0.8,20,45,1.1124109636911195,-0.1633537766945681,16702999.999999993
1326,12,35,14,40,70,14,2.0,1.0,2.0,1.2,10,50,1.0152014690105269,-0.19709453149320313,13141000.0
1327,15,40,10,45,55,14,2.5,2.0,2.0,1.0,20,50,0.5650803360704978,-0.19963591170858955,7138000.0
1328,15,30,14,25,55,10,4.5,1.5,2.0,1.2,10,45,1.0323945879554428,-0.20414713459183245,12539999.999999978
1329,15,25,18,30,55,10,4.5,0.5,1.5,1.4,5,55,0.27181810354792624,-0.21477817417759199,2817000.0000000075
1330,10,20,18,45,65,21,2.0,2.0,2.0,1.0,10,55,1.3311009741369264,-0.12111165115956143,18240999.999999985
1331,8,30,18,40,70,14,2.5,1.5,1.5,0.8,15,55,1.53606802420219,-0.11481162182192155,20121000.0
1332,12,40,14,45,50,14,2.0,1.5,1.0,1.2,10,50,0.6908328331815999,-0.14598294434470366,8708999.999999985
1333,8,40,14,40,70,14,4.0,1.0,2.0,0.8,20,50,1.3721393240778785,-0.13203407026402095,20695000.000000015
1334,15,20,14,45,55,21,3.5,0.5,1.5,0.8,15,45,0.6295595222085284,-0.18928029664587886,8805000.0
1335,8,30,10,25,50,10,3.5,1.0,2.0,1.2,20,45,1.3797761316350912,-0.18089983366465162,17673999.99999997
1336,12,40,18,45,50,10,4.5,0.5,1.5,1.0,20,55,0.8413290373651086,-0.19807371553782244,11679000.0
1337,8,30,10,45,55,21,5.0,1.0,1.0,1.4,20,50,1.92939477948705,-0.08285510058204824,24511000.0
1338,15,20,18,35,60,14,4.0,2.0,2.0,1.0,10,55,1.0013367127007111,-0.13598374356789342,13433000.000000007
1339,5,25,10,45,50,14,4.5,1.0,1.0,0.8,10,45,0.43024160759228625,-0.22892894190871374,5318999.999999978
1340,5,25,10,45,60,10,1.5,0.5,2.0,1.4,10,55,1.2960920597610255,-0.12540047734749593,16390999.999999963
1341,8,20,18,35,60,14,1.5,0.5,1.5,0.8,5,45,0.8356760264176343,-0.21936923001774775,11061000.0
1342,8,25,10,35,50,14,5.0,0.5,2.0,1.0,20,50,0.39456145833381,-0.15397354257437484,4573999.999999985
1343,5,30,10,30,55,14,2.5,1.0,1.5,1.0,10,55,0.6754637271630175,-0.18622740407230698,8520999.999999963
1344,8,30,10,40,50,14,2.5,1.0,1.0,1.4,20,55,2.0879903483576774,-0.10879101248486517,26206000.0
1345,10,40,14,45,50,10,4.0,1.5,1.5,1.2,5,45,1.3304579701439438,-0.17326519302998575,19970999.999999978
1346,12,35,14,25,70,14,5.0,2.0,1.5,0.8,20,50,1.4333567848672746,-0.126388246182323,18056000.000000015
1347,5,40,14,30,70,10,5.0,1.5,1.5,1.0,10,50,1.633399254914604,-0.10735229859945265,22574999.999999993
1348,15,35,10,25,55,10,3.0,2.0,1.0,1.4,5,50,1.567203901138166,-0.11163060118333402,17540999.999999993
1349,8,35,14,35,50,14,5.0,2.0,1.5,1.0,20,50,0.9812281060275665,-0.14926614197590538,12844999.999999978
1350,10,35,10,30,55,21,3.0,1.0,2.0,1.4,5,50,0.5285135476461857,-0.207424855129862,5942999.999999993
1351,10,40,18,30,65,10,1.5,0.5,1.5,1.0,15,55,1.2831310526046371,-0.12939928174991847,16273000.000000015
1352,10,20,14,45,60,10,1.5,1.5,1.5,1.4,20,45,1.3743317659376102,-0.068479481102657,15864999.999999985
1353,8,20,18,25,60,21,5.0,2.0,1.0,1.2,10,45,2.2184580585186935,-0.08211952650165967,28589000.0
1354,8,35,10,45,60,10,2.5,0.5,1.5,1.2,5,50,0.9246048141237978,-0.1478341656021367,12548999.999999963
1355,5,20,14,30,70,14,2.0,0.5,1.5,1.0,5,55,1.7052983173369247,-0.08007558391673378,23337000.0
1356,8,20,10,30,65,10,2.5,1.0,1.5,1.0,15,50,1.3679068891518031,-0.11491497610965451,18182999.999999985
1357,8,30,10,45,60,10,5.0,0.5,2.0,1.2,15,45,1.1283163341845854,-0.15524490007248617,15137999.999999963
1358,12,40,14,35,50,10,3.0,0.5,1.0,1.0,5,55,1.5892537511505533,-0.1352850001091535,24132999.999999985
1359,12,25,10,30,60,14,5.0,2.0,2.0,1.2,15,55,1.4621364353478281,-0.10993764395258677,18093000.0
1360,12,25,10,40,50,10,4.0,2.0,1.5,1.0,15,55,0.9174904367954162,-0.15312517434400186,12646000.0
1361,5,25,18,40,60,21,2.5,0.5,2.0,1.2,10,45,1.2747310581477487,-0.09248140820085994,17201999.99999997
1362,10,20,10,30,50,21,2.5,0.5,2.0,1.2,15,50,1.48636545870628,-0.08102383339262074,18742999.999999985
1363,8,40,10,25,70,10,4.5,1.5,1.0,1.2,20,55,2.484031689551401,-0.08776627253986684,31037000.000000015
1364,5,30,14,35,50,10,4.5,1.5,2.0,0.8,5,50,0.9770427020688608,-0.13592794579408352,14347999.999999978
1365,8,40,14,25,70,14,2.5,2.0,1.5,1.4,20,45,1.3595855344936452,-0.07193450870495818,13974000.000000007
1366,12,25,10,30,50,14,5.0,1.0,2.0,1.0,10,50,1.0913463460920438,-0.11026261569153274,14936000.0
1367,10,20,14,35,55,10,3.0,0.5,1.0,1.4,5,55,1.0107930065106674,-0.11288647262922938,11725999.999999985
1368,8,35,10,25,50,21,4.0,1.5,1.0,1.0,15,55,1.8143709484361614,-0.12190573408452905,26386999.99999997
1369,5,30,14,35,60,10,5.0,1.5,1.0,1.2,20,45,2.19555715786441,-0.08724498258417648,31298999.99999997
1370,12,40,18,25,60,21,3.0,0.5,1.0,1.0,20,55,2.4743116642653744,-0.0936877215800625,31283000.00000003
1371,12,40,18,45,70,10,2.5,0.5,1.0,0.8,20,50,1.663723734869978,-0.10546548256776224,22465000.0
1372,12,25,14,35,60,21,4.5,1.0,1.5,0.8,10,45,1.8185932972314383,-0.09218154080854311,26859000.000000015
1373,8,35,14,35,65,14,2.5,2.0,2.0,1.2,15,45,1.4653781079464656,-0.1159313863940197,18730999.999999993
1374,5,35,14,25,50,14,5.0,2.0,1.0,1.2,15,50,1.9637317406022525,-0.11402439024390247,25661999.99999997
1375,5,20,14,30,65,21,3.0,2.0,1.0,0.8,5,50,1.1746976042384691,-0.11092752665356481,17327999.999999985
1376,5,30,10,30,70,21,4.5,2.0,1.0,1.0,15,50,2.014076222815862,-0.07577849363399294,30608000.0
1377,15,40,18,25,55,14,5.0,2.0,2.0,1.0,10,55,1.191419703965663,-0.16427857380873048,16317000.000000007
1378,12,30,14,40,70,14,4.0,1.5,2.0,1.2,15,45,1.0620797772280444,-0.1336807544000304,12100000.000000015
1379,8,35,18,30,55,14,3.0,2.0,1.0,0.8,20,55,1.6048769714952982,-0.15065801592337122,23592000.000000015
